datetime,temperature,humidity,windSpeed,description
2025-11-23 21:00:00,6.48,98,2.44,overcast clouds
2025-11-24 00:00:00,6.48,94,2.68,overcast clouds
2025-11-24 03:00:00,6.37,91,2.96,overcast clouds
2025-11-24 06:00:00,6.12,90,4.0,overcast clouds
2025-11-24 09:00:00,6.44,87,3.55,light rain
2025-11-24 12:00:00,5.83,69,4.27,light rain
2025-11-24 15:00:00,9.29,64,4.2,light rain
2025-11-24 18:00:00,7.4,76,4.23,light rain
2025-11-24 21:00:00,7.56,84,2.41,light rain
2025-11-25 00:00:00,7.11,88,4.3,light rain
2025-11-25 03:00:00,7.04,81,4.71,light rain
2025-11-25 06:00:00,7.02,77,4.54,light rain
2025-11-25 09:00:00,7.04,76,5.14,light rain
2025-11-25 12:00:00,7.14,78,6.28,light rain
2025-11-25 15:00:00,6.92,76,5.55,light rain
2025-11-25 18:00:00,6.41,75,4.11,overcast clouds
2025-11-25 21:00:00,5.42,78,3.46,clear sky
2025-11-26 00:00:00,4.67,85,2.45,few clouds
2025-11-26 03:00:00,4.17,87,1.95,few clouds
2025-11-26 06:00:00,3.77,86,1.79,few clouds
2025-11-26 09:00:00,4.71,80,2.0,scattered clouds
2025-11-26 12:00:00,7.67,69,2.74,scattered clouds
2025-11-26 15:00:00,8.16,63,2.33,light rain
2025-11-26 18:00:00,6.41,75,1.75,light rain
2025-11-26 21:00:00,5.31,80,1.04,scattered clouds
2025-11-27 00:00:00,4.79,81,0.97,broken clouds
2025-11-27 03:00:00,4.23,83,1.32,overcast clouds
2025-11-27 06:00:00,3.81,83,1.99,overcast clouds
2025-11-27 09:00:00,4.4,75,2.9,overcast clouds
2025-11-27 12:00:00,4.38,84,3.51,light rain
2025-11-27 15:00:00,4.69,84,3.54,light rain
2025-11-27 18:00:00,5.12,82,3.34,overcast clouds
2025-11-27 21:00:00,5.42,82,3.33,overcast clouds
2025-11-28 00:00:00,5.77,85,3.06,overcast clouds
2025-11-28 03:00:00,6.11,88,3.04,overcast clouds
2025-11-28 06:00:00,6.37,92,3.1,light rain
2025-11-28 09:00:00,6.71,96,2.72,light rain
2025-11-28 12:00:00,8.13,95,1.9,light rain
2025-11-28 15:00:00,9.19,95,0.82,overcast clouds
2025-11-28 18:00:00,7.97,96,0.81,overcast clouds
